AccountID,StudentID,Group,Account Name,Role,SatisfactionScore,Opinion
66823,63542,EDUCATION,kappy713,student,5,データサイエンスの基礎やPythonの基礎やその実践、基本的な統計知識、機械学習について学ぶことができた。機械学習では強化学習、教師あり学習、教師なし学習の基本的な手法について学び、その応用としてLLMの構築などの大まかな手法についても学ぶことができた。
66821,63531,EDUCATION,Genchan24,student,4,データ分析をしていくにあたって
66805,63504,EDUCATION,StudentRintaro,student,5,本日の講義では、Pythonの基礎について学びました。プログラミング文法や演算、条件分岐、関数の使い方など、データサイエンスの基礎となる知識を体系的に理解することができました。今後の機械学習やデータ分析の応用に向けて、重要な基礎力が身についたと感じます
66804,63506,EDUCATION,yamane43,student,5,データサイエンスとは、大量のデータを分析して、新しい価値(役立つ情報や新しい知識)を生み出す学問分野や技術分野のことである。データの種類には構造化データと非構造化データにわけられる。データサイエンスの流れはデータの理解、前処理、モデル構築、モデル評価にわけられ、それらを繰り返して分析の目的達成を目指す。
66800,63503,EDUCATION,ryota_ar,student,5,データサイエンスとPythonについての基礎を学ぶことができた
66789,63483,EDUCATION,uuuka041,student,4,Pythonの使い方や、データサイエンスに関する基礎知識。
66781,63485,EDUCATION,Akibaka12,student,5,データサイエンスに関わる仕事に就きたいと漠然と思っていましたが、色んな活かした方があってあらゆる分野に精通していることがわかりました。これからもっと知っていきたいです。
66777,63479,EDUCATION,HayashidaReika,student,5,GCI事前学習では以下のことを学習しました。\n・データサイエンスとはなにか\n・Pythonの入門的な知識\n・機械学習の工程\n・データ理解に必要な統計の知識\n・機械学習の分類とそれぞれの特徴
66762,63478,EDUCATION,haya6187,student,4,データサイエンスについての知識を得ただけでなく、その流れをも理解できるようになりました。特に、モデル構築の際にデータ分割をすることで実際にモデルがパターンを理解できているか否かを確認できることは、この事前学習で学ぶ前は知らなかったので、良い学習となりました。また、その分割方法の中でもホールドアウト法と、K分割交差検証法のメリットデメリットを知れたので、今後使っていこうと思います。
66758,63460,EDUCATION,sukinanoka7,student,5,昨日参加させていただいたため、この講義の動画をまだ視聴出来ていないのですが、この後、1回目講義と一緒に視聴してこれから頑張っていこうと思います。
66753,63480,EDUCATION,cocosugar48,student,5,データの種類には構造化データと非構造化データがあり、行列で管理できるものと画像音声などのデータとして分けられる。データサイエンスの流れはデータの理解→前処理→モデル構築→モデル評価。pythonの基礎として、算術演算子\n比較演算子、変数、リスト、関数、ライブラリについて学んだ。
66752,63457,EDUCATION,ta1yo1022,student,5,全体的にデータサイエンスの土台を学んだ。この学習を通して、データサイエンスの基本的な概念と用語、データサイエンスでのPythonの使い方を学ぶことができた。
66747,63453,EDUCATION,nagaminedesu,student,4,python経験者でも未経験者でも、1からわかりやすく教えていただけることがわかった。隙間時間を有効活用していくことに力をいれたい。
66744,63513,EDUCATION,YotaroTomiie,student,5,データサイエンスの全体像と基礎的な知識、Pythonの基礎的な文法等を学びました。そして必要な統計学の知識と、機械学習についての概要を掴むことができました。\n
66742,63462,EDUCATION,hiroki4771,student,5,Pythonの基本的な文法と機械学習に用いる基本的なモデルやその使用方法の学習を行った。
66738,63449,EDUCATION,Rell0M4ttosu,student,5,データサイエンスの全体的な流れやpytonの基礎知識を学び、自身が持っていた知識とのすり合わせを行うことが出来た。\n
66727,63575,EDUCATION,seiyashinozaki,student,5,この講義ではデータサイエンスの流れ、Python、統計、機械学習など、データサイエンティストとしての頭の使い方を学んでいく。データサイエンスとは大量のデータを分析し、役立つ情報や新しい知識を生み出す学問分野で、売り上げ予測などに使われる。Pythonはプログラム言語のひとつであり、google colab上などで用意に利用できる。
66722,63441,EDUCATION,Amano333,student,4,1章では、データサイエンスの全体像や基本的な流れについて理解を深めました。2章ではpythonの基本的な操作方法を学びました。
66718,63431,EDUCATION,tanaka1sei,student,4,優秀生になるにはどんなことをすればいいのか、コンペはどのようなものかを知ることができ、これからの流れをつかみ取ることができた。質問に回答されていくなかで気になっていたことが知れた。
66717,63818,EDUCATION,Yokoyama_,student,5,データサイエンスの全体像や基本的な流れを理解し、Pythonの特徴や基本操作を学んだ。
66707,63058,OTHER,nariken0914,student,4,今後の講義に必要な基礎知識について理解した。特に統計学・機械学習・pythonの使用法などの概要について再認識した。
66704,63057,OTHER,Senichi_Sato,student,5,今回の講座全体で学ぶことの事前知識について理解を深めることができました。
66699,63832,EDUCATION,YanagimachiKenta,student,5,データサイエンスの定義や種類、実際の流れ、モデル評価等の基礎的知識。Pythonの変数や演算子、リスト、関数などの基礎的知識。
66698,63408,EDUCATION,Deluxe_Kikuchi,student,4,機械学習の流れとその種類及びプロセスについて．また，代表的な統計量の解説，Pythonの基本的な使い方について．
66688,63402,EDUCATION,hinoshoma,student,5,データサイエンスの流れは、データの理解、前処理、モデル構築、モデル評価であるが、それぞれを行ったり来たりして目的を達成する。
66685,63397,EDUCATION,TazuyaYumi,student,5,pythonがどんなものなのか、どのようにしてコマンド入力をするのか、基礎的なことを学習することができた。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　\n\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
66677,63389,EDUCATION,ksnmkyossy,student,5,データの理解，データの前処理，モデル構築，モデル評価を一方通行ではなく，行き来しながらデータサイエンス的な分析を行うことという流れをつかめた．また，今まで曖昧だった教師あり，教師なしの意味合いを正しく理解できた．
66675,63387,EDUCATION,YumiokaTakuto,student,4,データサイエンスを学ぶ上での大前提となる基礎知識とPythonの初歩的な部分を理解することが出来た。コードの入力の仕方がわかった。
66674,63041,OTHER,Esorimac,student,5,データの理解、関数などの組み方、基本的なエラーの回避など。出したい結果に応じた数字の種類やその恣意性の排除など考え方がよく分かった。
66671,63382,EDUCATION,nagi15a7,student,5,統計や機械学習の基礎について知らなかったことを学べた。
66665,63377,EDUCATION,9083kmys,student,5,今回の授業ではデータサイエンスとはなにかを学んだ。身の回りでよく聞く言葉だが、具体的にどのような行為をさすのか、どのように情報を整理するのかその方法の基礎的な部分がわかった。またPythonについても基礎的な入力方法なども学んだ。数学や英語の知識が必要なので、思い出しながら手を動かして使いこなせるようにしていきたい。
66659,63371,EDUCATION,Hiroreo32,student,5,Pythonの基本的な文法・データサイエンスの基礎・統計の基本的知識・機械学習について学べました。知っていることも多かったですが、自分の知識の再確認につながってよかったです。
66656,63366,EDUCATION,SojuYajima,student,5,統計の基本から，Pythonでの実装例，また機械学習とその関連知識（LLMの学習に使われる技術）等について，概要を知ることができた．
66653,63363,EDUCATION,iaizawa11,student,5,今回の講義では、データサイエンスの分析の流れと基礎的な知識について学んだ。私は大学でデータサイエンスについて学んでいるが、機械学習について理解ができていないところがあった。教師あり学習、教師なし学習、強化学習の違いであったり、LLMでは、正解ラベルがないデータを分類しつつ疑似ラベルを作成し、それを正解としてモデルを作るということを学ぶことができた。
66637,63338,EDUCATION,tomokona,student,5,Pythonの基礎的な文法とその概念を理解することができた。特に、代入は右辺から行うことを知ってからコードの読み方が格段にわかりやすくなった。また、メソッドと組み込み関数は似た仕組みだがコードの書き方が違うことを学んだ。使い分けができるように演習を積んでいきたい。
66634,63337,EDUCATION,charlie_koh7,student,5,このGCIの講座は初学者にとっては非常にハードな部分もあるかもしれないという事だった。一方で、その内容を乗り越えて課題やコンペ、最終課題を終えることができたら自分の能力として有意義なものが得られるとわかった。
66621,63324,EDUCATION,jangua6gp,student,5,データサイエンスの概要や中でもPythonを中心に学習していく方針について学びました。データサイエンスの基礎知識と手を動かして予測モデルの概念を作り出してインプットとアウトプットの繰り返しをする自力を高めるものだと学習しました。
66611,63313,EDUCATION,Sakko0917,student,5,ライブラリは大学の授業で活用したことがあるが、用途や特徴までは詳しく知らずに使っていたので今回の講義を通して理解を深めることが出来た。
66607,63305,EDUCATION,Kamin-ken,student,5,本日の講義を通じて、データサイエンスの全体的な流れについて、より深く理解することができました。データサイエンスは、単にデータを抽出してそのまま活用するものではないことがわかりました。データには欠損値や異常値などが存在するため、良い仮説を立てるには、それらのデータを適切に処理することが不可欠です。また、より精度の高いモデルを構築するには、データの前処理やモデル評価といったプロセスを繰り返し行う必要があります。
66596,63289,EDUCATION,naganaga,student,4,Pythonを学ぶ上で必要な基本的な知識を身につけることができた。オブジェクトやクラス、ライブラリについては初めて学んだので勉強になった。
66594,63287,EDUCATION,Nanamindayo,student,5,講義では基礎知識を学んで、初めて聞く言葉が多くてとても大変でしたが勉強になりました。次も頑張りたいと思います。
66591,63283,EDUCATION,TakiNakamura,student,5,コードの読み方から実際の演算方法、リストの概念についても学習できた。実際にはじめてコードを書いてみたが、初歩的な使い方については今回の講義で理解できたと感じた。
66588,63278,EDUCATION,HatakeyamaYuichi,student,3,自分が所属しているプロジェクトでも言われたが、データサイエンスは統計学やプログラム力だけではなく、ビジネス力も必要だと聞いていたが本講義のスライドにもあったのでやはり大切であるものであるということを学んだ。
66580,63269,EDUCATION,ChingChangChong,student,5,スライド全体はとても分かりやすくて理解しやすかったが、メソッドのところから理解するのに少しだけ前のほうと比べると時間がかかりました。ライブラリーのところがとても気になって、これからもそれについての機能を学んでいきたいと思います。以上です。
66579,63265,EDUCATION,Mananana,student,5,機械学習についての基本的概念を学びました。データ理解からモデルの評価まで改めて全体像を把握することができ、良い復習の機会となった。
66555,63243,EDUCATION,AnthemTime,student,5,演算子について深く理解することができた。この分野は高校時代に少しだけ学ぶ機会があったので、思い出しながら新たな知識を吸収することができた。
66554,63245,EDUCATION,yugo_shimizu,student,4,データサイエンティストに求められる重要な要素として、ビジネス的な観点、データサイエンティストとしての分析能力、さらにデータエンジニアとしての実装力の三つが不可欠であると感じた。AIの進歩により、一部ではエンジニアの役割が不要になるのではないかという議論もあるが、実際には人間が自ら理解し、ビジネスの現場で適切に活用していくことが、これまで以上に重要になると考える。テクノロジーの発展に伴い、単なるツール利用者に留まらず、データを解釈し、課題解決に結びつける力がデータサイエンティストには求められていると強く感じた。
66553,63240,EDUCATION,Azuma0411,student,4,phythonでの演算子の使い方や、カッコの使い分けまた、よく使われるコードの意味や使い方などを学んだ。
66550,63237,EDUCATION,jihomon7,student,5,データサイエンスはデータを集めて、処理することだけの仕事だと考えていましたが、そのデータをもとに、モデルを構築し、分析し評価することをすると学びました。確かに、実際の価格と予測価格を比較をするためには必要なプロセスだと、考えます。
66536,63221,EDUCATION,OsakabeRen,student,5,データを分析することで未来のデータを予測することができ、ビジネスやスポーツなど幅広い分野で有効に活用できること。
66532,63211,EDUCATION,monn6428,student,5,データサイエンスは、データの理解、データの前処理、モデル構築、モデル評価の四段階で構成され、目的に応じて適切にデータを分割したり、モデルの選択を行うことが大切である。
66528,63208,EDUCATION,shimayu_0916,student,5,Pythonのsum()という関数を用いることで簡単にリストの合計値を出せることを初めて知りました。\n
66514,63187,EDUCATION,DOWAKISHINNOSUKE,student,5,この講義でデータサイエンスや機械学習などの概念な学びと実践的なスキルを身につけることでデータサイエンティストとしての頭の使い方を学ぶということが目標と学びました。
66507,63183,EDUCATION,kennylee,student,5,機械学習の流れ、及びその元となるPythonの初歩的な使用方法。機械学習のもとになる、仕分けるという作業を命令するコードなど。
66506,63182,EDUCATION,nkaitst27,student,5,データサイエンスは元のデータをクリーニングし、目的を達成するために最適な予測モデルを選択する必要があると分かった。機械学習については線形回帰や決定木を使った教師あり学習、クラスタリングや次元圧縮を使った教師無し学習のプロセスについて学ぶことができた。また、最後の演習ではそれまでに学習した機械学習の手法を行うためのPythonライブラリの使い方を一通り学ぶことができた。\n
66504,63176,EDUCATION,KotaNojiri,student,5,pythonの基本的な文法や、Colabの使い方
66503,63175,EDUCATION,taiki624,student,5,データサイエンスの概要、pythonの基礎文法について学んだ。日常でどのようにデータサイエンスが生かされているのか、具体的なイメージがついた。応用方法がわかった上で基礎を学ぶことができたので、楽しかった。
66489,63164,EDUCATION,JunpeiMiura0,student,5,pythonは、自習のみで少し触った程度であったため、大変簡潔にまとめられていてよい復習になりました。さらに、データサイエンスの概要も簡単に理解することができました。
66471,61801,OTHER,Shohei_Mikami,student,4,データサイエンスの基礎として、データサイエンスのプロセスとPythonの使い方の基礎も理解できた
66463,63143,EDUCATION,SHOTA999,student,5,データサイエンス，Pythonの基礎を具体例を交えて学ぶことができたことで，非常にイメージを深めることができました．特に，データサイエンスのデータの前処理の重要性を学びました．
66461,63021,EDUCATION,KUMIsann,student,5,事前学習として今回の授業を受講しましたが、スライドがとても分かりやすく初学者の私でもほとんど理解することができた。特に機械学習についてが分かりやすくどのようにしてAIが学習をしているのかが理解することができた。
66453,63002,EDUCATION,utaphobia,student,5,pythonを利用・理解するうえで必須な専門的な単語や、pythonの基礎的なコードの書き方や、使用頻度の高い関数などを学んだ
66451,63126,EDUCATION,1344425w,student,5,事前学習ということで、基礎的な部分を補うことができた。プログラミング経験はないに等しかった自分だが、体系的に理解できるようになった。更に自主学習を進めることで土台を固め、今後の学習の幅が広がるよう努力したいと思う。
66450,63137,EDUCATION,masahaga,student,5,データサイエンスは、データを分析して、新しい価値を生み出す学問分野や技術分野であることとそれを実践するために使用するpythonの基礎を学びました。
66441,63011,EDUCATION,Shindgjl,student,5,「データサイエンスとは」やPythonの基礎で、基礎的な知識やGoogle Colabの使い方、演算子を学び、平均値や中央値などの必要な統計の知識や 機械学習の概要と手法も学んだ。最後には実際にGoogle Colabを使用し、回帰・分類の演習をした。
66440,63230,EDUCATION,karinka01,student,5,本講義にて6点学ぶことができました。１、データサイエンスとは。２、Pythonの基礎・実践とは。３、活用するために必要な統計の知識は。４、機械学習とは何か・その主な手法。５、１から５の学習事項についておさらい。６分類・回帰（演習）についてになります。
66434,63018,EDUCATION,othello8,student,5,データサイエンスの概要、大まかな流れと、その過程において必要な知識のウォーミングアップ。Pythonの基本文法、統計の基礎的な知識、機械学習とその手法について。
66428,62988,EDUCATION,yuuki_1111,student,5,最初はモデルの構築等について学んだ。次にPythonの演算子、変数とデータ型、リストと関数について学び、最後にオブジェクトとライブラリについて学んだ。
66407,62975,EDUCATION,takumi_26,student,4,データサイエンス、Pythonの基礎知識について学んだ。すでに知っている内容ではあったが、再確認することができてよかった。
66403,62965,EDUCATION,KukNshr4,student,3,pythonの環境構築をすることができ、統計の知識の再確認や機械学習の概要を見て分類や回帰などの知識を深めることが出来た。
66398,62958,EDUCATION,Nekomaru3,student,5,データサイエンスのデータの収集と分析・問題解決・複数分野の統合の中で、４つの流れがどのように行われるのか、データの理解・データの前処理・モデル構築・モデル評価のを行き戻りしながら目的達成する具体的な内容を学ぶことができました。モデル構築の中のデータ分割は、その方法がホールドアウト法だけでなく、k分割交差検証法によっても行うことから、改めてデータサイエンスでは大量のデータを扱い分析する、新しい価値を創造する技術分野であること、今後の可能性を感じました。
66396,62954,EDUCATION,kTsujimoto,student,5,データサイエンスとは、大量のデータを分析して、新しい価値を生み出す学問分野や技術分野を指す。機械学習を用いたデータサイエンスの流れは、データの理解、データの前処理、モデル構築、モデル評価からなり、これらは右から左へステップバイステップに進む訳ではなく、適宜戻りつつ進む。Pythonはプログラミング言語の一つであり、初学者でもデータサイエンスに必要なツールを容易に利用できる。
66392,62952,EDUCATION,yosuiro24,student,3,Pythonの超基礎的な部分を確認できたので大変有意義であった。しかしながらクラスの概念がいまいちわからなかった。
66389,61778,OTHER,Yuri_Nagamatsu,student,3,機械学習を学ぶ意義や実生活にどのように生かしていくかという点。一見わかりにくい課題も分割して一つずつクリアしていくことで問題解決に繋がるということ。
66383,62941,EDUCATION,Maeshi_0428,student,4,AI開発を行うにあたり、学んでおくべき基礎を０から学べた。pythonの基礎知識やデータサイエンスに関することまで幅広く知識を得ることができた。
66382,62939,EDUCATION,Nanune777,student,5,今までホントにPythonなどのプログラミングに触れていなかったが、初学者でも分かりやすいように簡単な部分を説明してくれたので、僕でも今回の講義は理解することができ、Pythonの実行の仕方などを学ぶことができた。また、今までデータサイエンスという言葉は聞いたことがあっても、実際の意味は分かららかったが、今回の講義を通して4つの手順があることやモデル化についてを知ることができた
66380,62936,EDUCATION,kenkenji,student,5,データサイエンスの流れ(データの理解→データの前処理→モデル構築→モデル評価)について、またPythonの基本的な文法の1通りについて学んだ。
66377,62933,EDUCATION,Hataaki1223,student,4,GCIを受ける前の段階の事前課題について資料を見たり、実際に動かして学習をしました。Pythonは触ったことがあったので復習になりました。
66369,62925,EDUCATION,iwachi000,student,5,データサイエンスの基本的な流れと、pythonの学習の基礎となる演算子や関数の書き方を学習した。
66365,62921,EDUCATION,SweetAnko08,student,4,データサイエンスとは何かや実際にモデルを作るにあたっての流れを理解し、Pythonについての基礎の復習をした。
66361,62913,EDUCATION,s6025104,student,4,データサイエンスを学びどう社会に活かしていくのか、本格的な講座開始前の準備ができたように感じています。実際に行動に移しながら臨んでいきたいと考えています。
66357,62911,EDUCATION,goarhsl123,student,2,事前学習
66354,62909,EDUCATION,himemisakuma,student,5,本日の講義では、Global Consumer Intelligence グローバルコンシューマーインテリジェンスの歴史、データサイエンスの入門、データ分析を学習する上で大切なこと、講義の事前学習、現代社会で活躍する人の仮説、一次的思考、二次的思考、など入門
66353,62905,EDUCATION,workingpurin,student,5,pythonの言語も結局日本語をパソコン用に置き換えただけだと分かったので、日本語などほかの言語を通じて理解すると分かりやすいかもしれないと思った。
66348,63426,EDUCATION,nakano120,student,5,変数は、値に名をつけて一時的に記録できる箱のようなもの。変数名＝値とし、変数に値を代入する。プログラムで扱う値の種類は、データ型として区別される。
66343,62895,EDUCATION,shmdshmd,student,4,日常の中にデータサイエンスが使われている例を知って、データサイエンスの応用の幅の大きさを学んだ。
66339,62887,EDUCATION,yuukishin,student,5,これまで何となく見よう見まねで書いていたコードの意味について詳細に言語化されており、今まで以上にコードの意味について理解し、使えるようになった。
66337,62886,EDUCATION,Hatopoppo,student,5,パイソンの基礎について知識0からでもなんとなく意味をつかんで学ぶことができた。
66334,62880,EDUCATION,Itsu0000,student,5,Pythonについて高校時代にある程度学んでいたつもりであったが、二次元リストやオブジェクト、クラスについては習ったことがなく初見の内容であった。
66333,62877,EDUCATION,jeunot2004,student,5,データサイエンスは今後重要になるとともにビジネスにもかならず活きてくる
66331,62873,EDUCATION,Kaiyamunene,student,4,統計の分野をpythonで実行するためのコードと、コードの学習方法を学んだ。また、機械学習においての基本的な考えを学んだ。
66328,62876,EDUCATION,hana87inf,student,5,GCI講義についてはあまりどのような仕組みで行われるのか分かっていませんでしたが、全体の講義の流れや、宿題の仕組みなどこれからの流れについて、大まかに理解することができました。また、優秀性というのがどのようなものかわかっていませんでしたが、今後のキャリアの流れを変えうるものだということや、多くの人が目指しているものだということが分かったので、自分も頑張ってみたいと思いました。
66324,62868,EDUCATION,YukiKono,student,4,データサイエンスの全体の流れやいろはを学びました。また、データの欠損値等の処理、モデルの構築と評価など、各工程についても大まかに知ることができました。
66318,62857,EDUCATION,flashback,student,5,ただデータを使って読み解くのではなくその前段階、でーてを使う理由やそこからどのデータが適しているかを初めて学んだ
