アカウントID,StudentID,Group,Account Name,Role,SatisfactionScore,Opinion
67317,64087,EDUCATION,N91nxL1nux,student,,
67316,64075,EDUCATION,Hafuji123,student,,
67315,64074,EDUCATION,rikua777,student,,
67314,64073,EDUCATION,yu_spitz,student,,
67313,64072,EDUCATION,keigofujita,student,,
67312,64071,EDUCATION,uchiriku,student,,
67311,64070,EDUCATION,TojoTatsunori,student,,
67310,64069,EDUCATION,kkkk9999,student,,
67309,64068,EDUCATION,negikenakamuteki,student,,
67308,64067,EDUCATION,ktkt_aiai,student,4,現代社会には大量のデータが存在するものの、すぐに活用できる形にはなっていない。そのため、データの前処理が重要になってくることが分かった。\nPythonの基本的な関数の使い方を学んだ。\nメソッドやオブジェクトの使い方を学んだ。
67307,64066,EDUCATION,ogkm1003,student,,
67306,64064,EDUCATION,Sara1021,student,,
67305,64062,EDUCATION,goodhamasen,student,,
67304,64065,EDUCATION,ng06922ao,student,,
67303,64061,EDUCATION,Kawabata8,student,,
67302,64060,EDUCATION,Harry1819,student,,
67301,64059,EDUCATION,ariyan419,student,,
67300,64057,EDUCATION,ttttsukasaaaa,student,,
67299,64055,EDUCATION,take4321,student,,
67298,64056,EDUCATION,TokyoPython,student,,
67297,64053,EDUCATION,gokigen27,student,,
67296,64051,EDUCATION,Kai3deth,student,,
67295,64050,EDUCATION,misisi333,student,,
67291,64048,EDUCATION,KuwaharaMai,student,,
67290,64047,EDUCATION,Asapapa321,student,,
67289,64054,EDUCATION,taikai4531,student,,
67287,64046,EDUCATION,AGU2501SUN,student,,
67286,64045,EDUCATION,Matsutan25,student,,
67284,64041,EDUCATION,johnkamo,student,,
67283,64208,EDUCATION,Shannon28,student,,
67282,64063,EDUCATION,kantango,student,,
67281,64038,EDUCATION,C2t0s630,student,,
67280,64148,EDUCATION,Ahirupoppo,student,,
67278,64037,EDUCATION,Genta2505,student,,
67276,64034,EDUCATION,murakami13,student,,
67275,64049,EDUCATION,Mami26Moriya,student,,
67274,64033,EDUCATION,yuta2525,student,,
67273,64032,EDUCATION,Kanta0115,student,,
67272,64105,EDUCATION,taichi0079,student,,
67270,64030,EDUCATION,Ochamar1011,student,,
67269,64028,EDUCATION,Ichimura,student,,
67268,64027,EDUCATION,kensei2374,student,,
67267,63838,OTHER,MaMi_KoMi,student,,
67266,64025,EDUCATION,yuka1224,student,,
67265,64024,EDUCATION,Narutoco,student,,
67264,64022,EDUCATION,Kyaoi0701,student,5,データサイエンスの流れとして、\n\n1. データの理解\n2. データの前処理\n3. モデルの構築\n4. モデル評価\n\nという流れになることについて理解しました。\nこの中身について詳しく学習していけるのが楽しみです。
67263,64115,EDUCATION,DeguchiKosei,student,,
67262,64019,EDUCATION,nnobb1101,student,,
67260,64018,EDUCATION,Takeru228,student,,
67259,64020,EDUCATION,Soju82500,student,,
67257,64017,EDUCATION,nk______jin,student,,
67256,64016,EDUCATION,shin__911,student,,
67254,64013,EDUCATION,shunya_0927,student,,
67253,64012,EDUCATION,zkousuke74,student,,
67252,64009,EDUCATION,Mutsukijanuary,student,,
67251,64035,EDUCATION,kosukeseiha8,student,,
67250,64007,EDUCATION,YN2025UT,student,,
67249,64004,EDUCATION,hisahisa26,student,,
67248,64005,EDUCATION,momopurin,student,,
67247,64003,EDUCATION,Swntnk0212,student,,
67246,63999,EDUCATION,m_itsuki,student,,
67245,64001,EDUCATION,Kurisudesu,student,,
67244,63998,EDUCATION,h738amq1,student,,
67243,63995,EDUCATION,Kizima8021,student,,
67242,64015,EDUCATION,Rrrkkkka,student,,
67241,64029,EDUCATION,ukawamochi,student,,
67240,63994,EDUCATION,yuuta4996,student,,
67239,64002,EDUCATION,wakabaito,student,,
67238,63993,EDUCATION,azuki0113,student,,
67236,63989,EDUCATION,kakikaking,student,,
67235,64211,EDUCATION,Arimanjiro,student,,
67233,63987,EDUCATION,nagiragi,student,,
67232,63985,EDUCATION,Pony_0808,student,,
67231,63982,EDUCATION,naoya0303,student,,
67230,63978,EDUCATION,2201072h,student,,
67229,63977,EDUCATION,Taki0614,student,,
67228,63979,EDUCATION,Haru_0308,student,,
67227,63976,EDUCATION,ThousandRe9,student,,
67226,63975,EDUCATION,wataru0615,student,,
67225,63974,EDUCATION,superYYY,student,,
67224,63969,EDUCATION,Kei46Naga,student,,
67223,63965,EDUCATION,chemical0201,student,,
67222,64023,EDUCATION,5CAT2239,student,,
67221,64125,EDUCATION,ikedo2002,student,,
67220,63964,EDUCATION,toyomomo,student,,
67219,63966,EDUCATION,ryuryu11,student,,
67218,63997,EDUCATION,tamokutsuya,student,,
67217,64011,EDUCATION,YurikoKishimoto,student,,
67216,63970,EDUCATION,SakitoNishino,student,,
67215,63983,EDUCATION,terauchi,student,,
67213,64010,EDUCATION,suuuuuuzu,student,,
67211,64058,EDUCATION,Arai1124,student,,
67210,63962,EDUCATION,MinoriTakanaga92,student,,
67209,64144,EDUCATION,frais0816,student,,
67208,63980,EDUCATION,cocolo0711,student,,
67207,63971,EDUCATION,llion1119807,student,,
67206,63961,EDUCATION,MatsumotoDaichi,student,4,今まで雰囲気で理解していたものが一つ一つ丁寧に構造化されたようになったので、実のある時間だったと感じました。
67205,64008,EDUCATION,moppukun,student,,
67203,63968,EDUCATION,Fumiya238,student,,
67199,64014,EDUCATION,KiraYamamoto,student,,
67198,63959,EDUCATION,Totomixerhiro,student,3,プログラミング言語のPythonで､プログラムで扱う値の種類は､データ型として区別されるのを初めて知り､データ型が何と対応してるのかが､わかりました｡高校で習う情報1で学んだことと似ていたので､学びやすかったです｡
67196,63956,EDUCATION,silv0515,student,,
67195,64218,EDUCATION,Atsu3443,student,,
67194,63991,EDUCATION,ryosei0616,student,,
67192,63955,EDUCATION,BJF24021,student,,
67190,63957,EDUCATION,SotheFaithful,student,,
67189,63963,EDUCATION,mitly222,student,,
67188,63958,EDUCATION,beyoubei131,student,,
67187,64170,EDUCATION,Zhaonaixuan,student,,
67186,64098,EDUCATION,aka_naaa,student,,
67185,63967,EDUCATION,Satoki0316,student,,
67184,64031,EDUCATION,Nayuni06,student,,
67179,63986,EDUCATION,TannoYuito,student,,
67178,63973,EDUCATION,Sheepbook,student,,
67176,64044,EDUCATION,Wonda1234,student,,
67174,63952,EDUCATION,Higashi_Fumika,student,,
67172,63950,EDUCATION,mkkmakam,student,,
67171,63947,EDUCATION,hagahogo,student,,
67170,63948,EDUCATION,Tomi2006,student,,
67169,63951,EDUCATION,kimurapple,student,,
67168,63946,EDUCATION,sakananoko,student,,
67167,63945,EDUCATION,Mizushimadesu,student,,
67166,63944,EDUCATION,Shun__71,student,,
67165,63943,EDUCATION,harryttkk,student,,
67163,63942,EDUCATION,kakusesyou,student,,
67161,63939,EDUCATION,MS_AJ_38,student,,
67160,63954,EDUCATION,ainalfululuk,student,,
67158,63940,EDUCATION,sora1412,student,,
67157,63937,EDUCATION,fu9u8ama,student,,
67155,63936,EDUCATION,kbt618choco,student,,
67153,63935,EDUCATION,ko-hi-gyuunyuu,student,,
67152,63932,EDUCATION,syogakusya,student,,
67151,63933,EDUCATION,ArchaNg1,student,,
67150,63931,EDUCATION,shimosako,student,,
67149,63938,EDUCATION,MxxxxxKxxxxx,student,,
67148,63934,EDUCATION,Sora1120,student,,
67147,63930,EDUCATION,OTOKAWABunryu,student,,
67146,63926,EDUCATION,m-hashimoto925,student,4,"平均二乗誤差は、数値のスケールによって変動するため、同じモデル間での比較に適する。Pythonの演算子、変数、データ型(int,float,str,bool,list)、リスト、関数(sum,len,max,min)、メソッド(関数とは異なり、score.index(50)のような形で利用)、便利なライブラリのインポート方法(NumPy,pandas,matplotlib,scikit-learn)、オブジェクトとクラスについて学んだ。"
67145,63928,EDUCATION,Tsubasa0901,student,,
67144,63927,EDUCATION,SIGMAaristotle,student,,
67143,63929,EDUCATION,okstokst,student,,
67142,63924,EDUCATION,kodaimakino,student,,
67141,63923,EDUCATION,detectiveconan,student,,
67140,63922,EDUCATION,TKawasaki,student,,
67139,63921,EDUCATION,MasakiKaneko,student,,
67138,63920,EDUCATION,nagonago,student,,
67137,63918,EDUCATION,Ankan2005,student,,
67136,63919,EDUCATION,kobashii,student,,
67135,63914,EDUCATION,Kajiwara,student,,
67134,63912,EDUCATION,kurisaki,student,,
67133,63836,OTHER,GaoWenning,student,,
67132,63911,EDUCATION,mk0302aa,student,,
67131,63907,EDUCATION,kawaemon,student,,
67130,63909,EDUCATION,taichinakamura12,student,,
67129,63908,EDUCATION,taku0919,student,,
67128,63904,EDUCATION,gunpepejjj,student,,
67127,63905,EDUCATION,Kanade703,student,,
67126,63902,EDUCATION,10kiiiii,student,,
67125,63901,EDUCATION,Kodai_Sato,student,,
67124,63900,EDUCATION,Kazuki513,student,,
67123,63895,EDUCATION,KazukiYamakoshi,student,,
67122,63896,EDUCATION,isseihello,student,,
67121,63894,EDUCATION,popochan3250,student,5,基本文法としては、print()での出力、変数の定義と演算、リストを使った複数のデータの管理があり、四則演算やべき乗、比較演算も扱える。また、演算結果は真偽判断をbool値で返される。このように、Pythonはコードがシンプルで読みやすいため、直感的に理解しながらプログラムをかけるのが魅力だ。
67120,63892,EDUCATION,Strv1130,student,,
67119,63891,EDUCATION,tanatomo_1122,student,,
67118,63890,EDUCATION,Yutakamb,student,,
67117,63889,EDUCATION,Na0k1Tanaka,student,,
67116,63888,EDUCATION,argon-uribow,student,,
67115,63897,EDUCATION,YukaSano,student,,
67113,63886,EDUCATION,marikatto,student,5,pythonの基本的な変数などについて思い出すことができた。データサイエンスや機械学習ということについて、概念は知っていたが、より詳細な分類については知らなかったので勉強になった。
67112,63884,EDUCATION,040taHiroto,student,,
67111,63883,EDUCATION,774_beta,student,,
67110,63881,EDUCATION,asteroid,student,,
67109,63882,EDUCATION,Aokihiro,student,,
67108,63879,EDUCATION,honketomoya,student,,
67107,64205,EDUCATION,firmiana3,student,,
67106,63878,EDUCATION,Yuta_Shigaraki,student,,
67105,63880,EDUCATION,Ogurohayato,student,,
67104,63873,EDUCATION,Kenkenkenshi,student,,
67103,63871,EDUCATION,NakataAkane,student,,
67100,63872,EDUCATION,H_Suzuki,student,5,データサイエンスとは大量のデータを分析して価値を生み出す分野のことで、主な活用としては売上などの予測が挙げられる。データの理解、前処理、モデルの構築、そして評価を、各段階のフィードバックを回しながら目的達成を目指す。具体的に用いられる言語として、本講座ではツールが揃っているPythonを用いる。
67099,63903,EDUCATION,nananoko,student,,
67098,63869,EDUCATION,Tyoomiin,student,,
67097,63867,EDUCATION,hide0519,student,,
67096,63893,EDUCATION,otmotm3838,student,,
67094,63862,EDUCATION,motivationhigh,student,,
67093,63861,EDUCATION,shampooineyes,student,,
67092,63860,EDUCATION,kgmpdpwg1227,student,,
67089,63855,EDUCATION,Ayyyyuumm,student,,
67088,63854,EDUCATION,freyashiyi0303,student,,
67086,63835,EDUCATION,iwasaki0705,student,,
67085,63856,EDUCATION,Piko0808,student,,
67084,63831,EDUCATION,matsukenn0212,student,,
67083,63828,EDUCATION,Taiga26161,student,,
67082,63827,EDUCATION,kido2025,student,,
67080,63823,EDUCATION,Kazuya0824,student,3,プログラミングの初歩を学べた
67079,63821,EDUCATION,nakamuraayaka,student,,
67078,63822,EDUCATION,kitashiori,student,,
67077,63820,EDUCATION,tomiyoshihinata,student,,
67076,63825,EDUCATION,sssssssh,student,,
67075,63826,EDUCATION,TakoSasaki,student,,
67074,63815,EDUCATION,MalikaNoguchi,student,,
67073,63816,EDUCATION,tachibanamasa,student,,
67072,63811,EDUCATION,teavalse,student,,
67071,63810,EDUCATION,jing1387,student,,
67070,63808,EDUCATION,SHINTA243096,student,,
67068,63806,EDUCATION,yusuke333,student,4,パイソンの概要について学んだ。プログラミングと聞いてはじめはとても難しそうに感じたが、今回の授業で案外自分でも理解することができるということも学んだ。
67067,63805,EDUCATION,aikokudo,student,,
67066,63804,EDUCATION,0621bassy,student,,
67065,63834,EDUCATION,shin_emperor,student,,
67064,63801,EDUCATION,bisaikou,student,,
67063,63799,EDUCATION,akawar63,student,,
67062,63798,EDUCATION,Matsu77777,student,,
67061,63117,OTHER,RyusukeHamasaki,student,,
67060,63797,EDUCATION,Kazuki831,student,,
67058,63813,EDUCATION,GA8375102,student,,
67057,63796,EDUCATION,KitayaHaruki,student,4,データサイエンスの流れについて学んだ。データサイエンスにはモデルを構築してそれを元に予想するが、その前段階としてモデルに用いられるデータの理解や前処理も大切と学んだ。また、pythonの実装環境の使い方やデータ型の理解など基礎的なことを学んだ。
67056,63795,EDUCATION,Birdpalace,student,,
67054,63793,EDUCATION,Komei2002,student,,
67053,63791,EDUCATION,Kanijiro,student,,
67051,63790,EDUCATION,KazuyaNAKAGAWA,student,3,プログラムの概要
67050,63792,EDUCATION,bagcu81jaq,student,,
67049,63788,EDUCATION,urasaki_yo,student,,
67048,63786,EDUCATION,SotaroIrie,student,,
67047,63783,EDUCATION,Minato1115,student,4,機械学習やデータサイエンスをする上での流れや段階を知ることができた。またゴールや目標もしれた。これから頑張れそうだと思った。
67046,63782,EDUCATION,Taich1204,student,,
67045,63779,EDUCATION,syunta565615,student,,
67044,63777,EDUCATION,Chusonji,student,,
67043,63778,EDUCATION,harharhalt,student,,
67042,63774,EDUCATION,nitakunitaku,student,,
67041,63776,EDUCATION,matsutake12,student,,
67040,63785,EDUCATION,Zengofukaku,student,,
67039,63772,EDUCATION,kanabunbun,student,,
67038,63768,EDUCATION,WhiteHaired,student,,
67037,63769,EDUCATION,Shi36T6k6shi,student,,
67036,63771,EDUCATION,M1MiyamotoYuma,student,,
67035,63770,EDUCATION,Sei_Hisato,student,,
67034,63763,EDUCATION,Siiiierra,student,,
67031,63757,EDUCATION,Dotsuki08,student,,
67030,63758,EDUCATION,Shojishi,student,,
67025,63859,EDUCATION,ZENSEI0803,student,,
67024,64052,EDUCATION,MakiZushi,student,,
67022,63755,EDUCATION,Tangwo58,student,,
67021,63868,EDUCATION,chongning,student,,
67018,63753,EDUCATION,tanpakusitu,student,5,Pythonの基礎の知識や統計の仕方の種類や機械学習のないようなどを学んだ。
67016,63819,EDUCATION,MisatoYoshioka,student,,
67015,63800,EDUCATION,Kakitani,student,,
67014,63984,EDUCATION,raskaru3,student,,
67013,63807,EDUCATION,kohsuke2626,student,,
67011,63775,EDUCATION,T3MORIMOTO,student,,
67010,63765,EDUCATION,WaNaviii,student,,
67009,63756,EDUCATION,skyblue-jpn,student,,
67008,63789,EDUCATION,ka020816,student,,
67006,63759,EDUCATION,ishigakiharuto,student,,
67004,63916,EDUCATION,kmkz0218,student,,
67003,63760,EDUCATION,popopopop1215,student,5,本日の講義では、事前学習としてデータサイエンスの大きな流れやpythonの基本的な使い方について復習した。データサイエンスの流れは大きく分けて4つあり、工程を分けてはいるものの、必要に応じて戻ることも多い。また、pythonの使い方については、ライブラリや関数を学んだ。
67000,63992,EDUCATION,fukayakokoro,student,,
66999,64039,EDUCATION,r202570165,student,,
66998,63754,EDUCATION,novasalmon,student,,
66995,64164,EDUCATION,kouuki1004,student,,
66994,63751,EDUCATION,sakiiida,student,,
66993,63750,EDUCATION,KENTAIKEBE,student,,
66992,63752,EDUCATION,gotoryota,student,,
66991,63749,EDUCATION,yuta0118,student,,
66990,63747,EDUCATION,shirottchi,student,,
66989,63745,EDUCATION,sptakumi,student,,
66988,63744,EDUCATION,Justinyama,student,,
66987,63743,EDUCATION,kenchinjiru,student,,
66986,63742,EDUCATION,Miyayash,student,,
66985,63741,EDUCATION,taberunosuki112,student,5,Pythonの使い方やデータサイエンスが何なのかなどについて学んだ。また、そのほかに統計や機械学習について学ぶことができた。これらは、自身が大学で学ぶ機械工学と通ずるところが多いので大きな興味を抱いた。
66984,63740,EDUCATION,yuto2002,student,,
66982,63990,EDUCATION,Hfxchugj,student,,
66981,63735,EDUCATION,inu-wanwan,student,,
66980,63733,EDUCATION,giyuu884,student,5,統計などの話から総括的に簡潔に説明されていたので、とても全体を見渡しやすかった。Pythonの基礎、実践を、いちから身につけることができた。
66979,63737,EDUCATION,kyouta2525,student,,
66978,63732,EDUCATION,Ousou727,student,,
66977,63729,EDUCATION,KenichiHonma,student,3,pythonの基本的な文法をまず知らなかったのでこれから深く学ぼうとしてる私みたいなタイプの方にはとても良い機会だと思いました。
66976,63727,EDUCATION,hachimaru,student,,
66975,63725,EDUCATION,Ohak6718,student,,
66974,63726,EDUCATION,gomagoma2929,student,,
66973,63723,EDUCATION,chigechige,student,,
66972,63718,EDUCATION,Hinata0201,student,5,変数　変数のデータ化　リスト　関数　オブジェクトなど
66971,63716,EDUCATION,RikutoNakade,student,,
66970,63715,EDUCATION,Eisuke1225,student,,
66969,63713,EDUCATION,Kensuke0418,student,,
66968,63712,EDUCATION,ShunYama,student,,
66967,63709,EDUCATION,fuzzypants,student,,
66966,63707,EDUCATION,MikuroXina,student,5,Python及びデータサイエンスでよく利用されるライブラリの基本的な利用方法と関連する統計の概念について学んだ.
66965,63703,EDUCATION,kobataku,student,,
66964,63702,EDUCATION,Yuto0605,student,5,データサイエンスとは何か、データサイエンスはどのような分野に活かされているのか理解できた。また、データの処理や活用の仕方、Pythonの基本的な扱い方について学習できた。
66963,63701,EDUCATION,KurodaKeigo,student,,
66962,63700,EDUCATION,wkazushi,student,,
66961,63705,EDUCATION,kamekingdom,student,,
66960,63694,EDUCATION,radioactive,student,,
66959,63711,EDUCATION,Nekomikandayo,student,,
66958,63691,EDUCATION,kei19830715,student,5,本日の講義では、データサイエンスの手順や流れについて学習した。以前は、得られたデータをそのままモデルの構築に利用できるものと考えていたが、前提として可視化等によるデータの理解や扱いやすいよう前処理を行う必要があることが理解できた。
66957,63690,EDUCATION,miyuki512,student,,
66956,63687,EDUCATION,tasuku_k93,student,,
66955,63685,EDUCATION,Tamtam10,student,,
66954,63684,EDUCATION,Yosei0412,student,,
66953,63686,EDUCATION,Gorionji,student,,
66952,63681,EDUCATION,sweetfish,student,5,= は代入、== は左右の値が同じかを示す。x = x + 1とある際、右から計算する。メソッドは自身に処理を実行する。
66951,63679,EDUCATION,5kinoo20,student,3,　
66950,63678,EDUCATION,Va0424bio,student,,
66949,63677,EDUCATION,nishiryo74,student,,
66948,63676,EDUCATION,tanakayuu,student,,
66947,63674,EDUCATION,mercury0323,student,,
66946,63672,EDUCATION,conankun9,student,,
66945,63673,EDUCATION,Hinoki7119,student,,
66944,63671,EDUCATION,tomoki225255,student,5,"データサイエンスやAIの学習のために必要な事前知識を、Pythonの使い方からデータサイエンス, AIの基礎の基礎から取り扱っており、網羅的に学ぶことができた。"
66943,63668,EDUCATION,Urano2002,student,5,データサイエンスとは、についてその流れを具体例とともに理解することができた。また、Pythonの関数や諸概念について実際にコードを書いたり確認しながら理解することができた。
66942,63666,EDUCATION,YutoShima04,student,,
66941,63664,EDUCATION,Akriiiiii,student,,
66940,63857,EDUCATION,HikaKOBAYASHI,student,,
66939,63665,EDUCATION,halustar,student,,
66938,63660,EDUCATION,yutomoriyama,student,,
66937,63661,EDUCATION,chihokoku,student,,
66936,63663,EDUCATION,Koppepann_Alpha,student,,
66935,63662,EDUCATION,yusei255804,student,,
66934,63658,EDUCATION,ZukiZuki,student,,
66933,63655,EDUCATION,Shungo_ko,student,,
66932,64043,EDUCATION,ayato_0522,student,,
66931,63650,EDUCATION,WolfgangAmadeus,student,,
66930,63649,EDUCATION,YusukeYusuke,student,,
66929,63647,EDUCATION,TaiMiya5183381,student,,
